Date,Open,High,Low,Close,Volume,Company,Ticker
2023-01-02,1164.066351583663,1177.3048023328713,1163.244668797144,1175.8896484375,5316175,Reliance,RELIANCE.NS
2023-01-03,1170.9365362462836,1174.5657054277967,1163.0620263922654,1167.2845458984375,7658932,Reliance,RELIANCE.NS
2023-01-04,1167.2618507099899,1169.1107276232437,1147.6325061253483,1149.7095947265625,9264891,Reliance,RELIANCE.NS
2023-01-05,1151.969321148222,1157.858149023016,1143.0676158255733,1147.6553955078125,13637099,Reliance,RELIANCE.NS
2023-01-06,1153.4071180013361,1163.1305046928026,1149.595379440652,1158.086181640625,6349597,Reliance,RELIANCE.NS
2023-01-09,1161.9207528429104,1187.8041821914996,1161.0306065888913,1185.4302978515625,10722753,Reliance,RELIANCE.NS
2023-01-10,1189.6301316742909,1189.6301316742909,1162.2403842296717,1167.90087890625,8047142,Reliance,RELIANCE.NS
2023-01-11,1165.2077656913489,1167.7184566325625,1150.873655990327,1153.1790771484375,11509553,Reliance,RELIANCE.NS
2023-01-12,1152.5855061360771,1156.077627831873,1125.2641003718309,1128.2769775390625,17688773,Reliance,RELIANCE.NS
2023-01-13,1122.2513519945564,1128.8705782042637,1111.3867843100481,1126.451171875,20618583,Reliance,RELIANCE.NS
2023-01-16,1128.7791493112115,1131.951774613395,1107.917221092014,1115.723388671875,13623855,Reliance,RELIANCE.NS
2023-01-17,1122.0687880986452,1133.4811846812154,1118.690771838856,1131.56396484375,10751000,Reliance,RELIANCE.NS
2023-01-18,1129.1444306357287,1137.178689301756,1123.1414974309203,1129.692138671875,13448286,Reliance,RELIANCE.NS
2023-01-19,1128.8705038207283,1132.6366004638107,1121.4524163802744,1128.4825439453125,11940054,Reliance,RELIANCE.NS
2023-01-20,1129.8291140692525,1129.8291140692525,1112.596474928504,1115.0615234375,14930286,Reliance,RELIANCE.NS
2023-01-23,1117.960272105855,1125.811961602633,1107.004299933337,1109.4237060546875,10954118,Reliance,RELIANCE.NS
2023-01-24,1113.851719292168,1115.51790607312,1089.8171651533376,1102.873046875,16488755,Reliance,RELIANCE.NS
2023-01-25,1101.2753294802073,1102.302402806859,1086.461976225218,1087.6259765625,12385018,Reliance,RELIANCE.NS
2023-01-27,1088.4706538388855,1089.817223588686,1055.260418546103,1066.992431640625,25830975,Reliance,RELIANCE.NS
2023-01-30,1064.4132886312711,1082.764407064242,1050.3987961919847,1077.218017578125,21772103,Reliance,RELIANCE.NS
2023-01-31,1087.3747826880974,1089.9540573273835,1068.6584086670991,1074.5244140625,22691594,Reliance,RELIANCE.NS
2023-02-01,1086.4390237052419,1086.4390237052419,1052.2245419941687,1068.1563720703125,19347800,Reliance,RELIANCE.NS
2023-02-02,1058.1590377354637,1071.85391093282,1054.9635914721293,1062.2447509765625,13662663,Reliance,RELIANCE.NS
2023-02-03,1072.3105805967245,1072.3105805967245,1046.7467660021255,1063.1806640625,24699575,Reliance,RELIANCE.NS
2023-02-06,1056.7897340697052,1059.528757546533,1052.5900349184292,1055.169189453125,14837879,Reliance,RELIANCE.NS
2023-02-07,1055.4202857843334,1062.4502927137798,1046.7467924098464,1052.6356201171875,15135435,Reliance,RELIANCE.NS
2023-02-08,1055.876758827137,1077.28651848918,1053.1378561171298,1073.6573486328125,21160332,Reliance,RELIANCE.NS
2023-02-09,1074.341987106508,1082.284961068636,1065.463103759131,1075.52880859375,13172763,Reliance,RELIANCE.NS
2023-02-10,1075.0039060071294,1075.0039060071294,1059.6655455942528,1066.6728515625,10790445,Reliance,RELIANCE.NS
2023-02-13,1068.293381324993,1072.7670546240697,1056.127767130611,1060.6014404296875,10352493,Reliance,RELIANCE.NS
2023-02-14,1063.6144381671827,1087.329376978281,1060.738487756277,1085.5947265625,14321920,Reliance,RELIANCE.NS
2023-02-15,1084.6358877756606,1112.5735854842064,1083.2664969637603,1110.1768798828125,33503591,Reliance,RELIANCE.NS
2023-02-16,1118.1655094417106,1124.7162706791198,1107.0269694456317,1109.3094482421875,17264487,Reliance,RELIANCE.NS
2023-02-17,1104.7216712307097,1117.2753650050747,1100.4305676175113,1113.94287109375,11809520,Reliance,RELIANCE.NS
2023-02-20,1116.13425652598,1118.3026298698114,1100.2025445254703,1102.16552734375,8836937,Reliance,RELIANCE.NS
2023-02-21,1106.5479683974272,1116.9559918914763,1101.2296696771075,1111.1585693359375,13311592,Reliance,RELIANCE.NS
2023-02-22,1107.4379365148654,1109.2866925279875,1084.2022454513722,1085.959716796875,11024335,Reliance,RELIANCE.NS
2023-02-23,1085.5490279902117,1093.1953270218976,1077.9483712962124,1080.7557373046875,9851910,Reliance,RELIANCE.NS
2023-02-24,1082.8100022510873,1093.8344379808216,1080.9840672539892,1088.1510009765625,9434053,Reliance,RELIANCE.NS
2023-02-27,1087.3750050988056,1090.8672478016565,1073.543202799622,1080.91552734375,11199715,Reliance,RELIANCE.NS
2023-02-28,1075.5516247048565,1080.5274845520237,1056.1734344203933,1060.2362060546875,21994038,Reliance,RELIANCE.NS
2023-03-01,1070.0280642112666,1070.712820002187,1060.5557097259696,1069.982421875,11551145,Reliance,RELIANCE.NS
2023-03-02,1066.8325430044117,1073.5202315216086,1059.8024162422653,1061.8338623046875,9333535,Reliance,RELIANCE.NS
2023-03-03,1072.3791189632545,1092.6019362119685,1068.9098180563456,1088.9271240234375,14643807,Reliance,RELIANCE.NS
2023-03-06,1095.5918675399987,1106.8216933590497,1095.5918675399987,1099.5633544921875,10171916,Reliance,RELIANCE.NS
2023-03-08,1099.5632986303585,1104.265304210858,1088.7443751303776,1103.5120849609375,15782657,Reliance,RELIANCE.NS
2023-03-09,1102.8958764013148,1103.3066574341256,1075.095225544964,1076.9896240234375,16235128,Reliance,RELIANCE.NS
2023-03-10,1068.8868957671646,1070.0280749321848,1056.8124450060086,1060.3046875,13334091,Reliance,RELIANCE.NS
2023-03-13,1063.1806779260546,1070.0281154160118,1038.5298305140532,1042.8665771484375,12771592,Reliance,RELIANCE.NS
2023-03-14,1040.812257084253,1052.2018311560978,1035.8136967949142,1038.9635009765625,16027522,Reliance,RELIANCE.NS
2023-03-15,1042.6840329673732,1049.1662111592916,1016.800600298463,1021.205810546875,21728555,Reliance,RELIANCE.NS
2023-03-16,1023.921951504309,1028.9433330363881,1005.2968594074098,1016.1157836914062,18363159,Reliance,RELIANCE.NS
2023-03-17,1024.7208434439497,1028.007574780085,1010.0901194945558,1014.8377075195312,34014213,Reliance,RELIANCE.NS
2023-03-20,1011.1400680229121,1013.4225471579439,995.1626537042278,1004.8632202148438,19524589,Reliance,RELIANCE.NS
2023-03-21,1012.9430039303461,1038.0732119172073,1012.0528577510236,1036.1102294921875,21400360,Reliance,RELIANCE.NS
2023-03-22,1043.0948141638403,1046.0392280531037,1036.2473765076484,1039.26025390625,10920094,Reliance,RELIANCE.NS
2023-03-23,1035.3343603002547,1036.2016854580306,1023.9447859117854,1026.1131591796875,16249370,Reliance,RELIANCE.NS
2023-03-24,1024.9489888672188,1027.117362031003,1003.3795441878093,1005.7989501953125,12375945,Reliance,RELIANCE.NS
2023-03-27,1012.2812223607901,1028.9432703448797,1004.3838307288752,1021.4338989257812,14054323,Reliance,RELIANCE.NS
2023-03-28,1024.8349561252708,1030.0846702786253,1021.1829653124684,1026.2044677734375,12576424,Reliance,RELIANCE.NS
2023-03-29,1022.0958575091914,1024.743595933455,1009.3596536883372,1020.1329956054688,18804065,Reliance,RELIANCE.NS
2023-03-31,1029.3999027039445,1069.7770709600845,1029.2629756900762,1064.116455078125,28171201,Reliance,RELIANCE.NS
2023-04-03,1070.4846960590223,1072.3106311531849,1056.7896998650788,1064.299072265625,10293043,Reliance,RELIANCE.NS
2023-04-05,1071.8540232011114,1071.8540232011114,1053.8453439607506,1061.74267578125,16262928,Reliance,RELIANCE.NS
2023-04-06,1058.2275373074351,1074.592970502133,1058.2275373074351,1068.8638916015625,18435046,Reliance,RELIANCE.NS
2023-04-10,1072.7671126043012,1072.9496819536614,1059.779694186431,1061.2861328125,12961408,Reliance,RELIANCE.NS
2023-04-11,1065.4631729553812,1068.6586196822263,1060.9210357303307,1066.535888671875,10542367,Reliance,RELIANCE.NS
2023-04-12,1066.5357872569193,1080.8925957399235,1063.6599579243734,1071.23779296875,18179087,Reliance,RELIANCE.NS
2023-04-13,1074.1365320735108,1079.9797173840186,1069.1151503508545,1075.27783203125,12378208,Reliance,RELIANCE.NS
2023-04-17,1106.9814803229494,1106.9814803229494,1072.333391852291,1080.73291015625,17929479,Reliance,RELIANCE.NS
2023-04-18,1085.0925121063174,1085.0925121063174,1061.8111761257844,1068.3619384765625,10405576,Reliance,RELIANCE.NS
2023-04-19,1067.768405195298,1076.3733137885806,1064.64142217666,1073.6800537109375,12273475,Reliance,RELIANCE.NS
2023-04-20,1074.638556551585,1076.875393044396,1064.5956738732273,1070.9637451171875,7007330,Reliance,RELIANCE.NS
2023-04-21,1073.0637661728558,1077.7884724738815,1066.5586465106753,1072.310546875,7647317,Reliance,RELIANCE.NS
2023-04-24,1084.1794719407253,1086.8727319946267,1071.8539885727766,1076.4190673828125,12936186,Reliance,RELIANCE.NS
2023-04-25,1080.0710338352167,1086.7359021827194,1072.995384428631,1084.6588134765625,9236126,Reliance,RELIANCE.NS
2023-04-26,1086.005534613959,1089.2467445727555,1074.6159592843226,1078.290771484375,8617834,Reliance,RELIANCE.NS
2023-04-27,1084.1795677314856,1088.2879820525134,1079.158065119624,1085.1153564453125,9167125,Reliance,RELIANCE.NS
2023-04-28,1087.374995527852,1106.5022750107378,1087.2608896802224,1104.9500732421875,15565210,Reliance,RELIANCE.NS
2023-05-02,1112.1171610071847,1116.4995501680314,1108.4195276994035,1114.3311767578125,12981805,Reliance,RELIANCE.NS
2023-05-03,1116.1342091904096,1116.1342091904096,1101.549188303151,1104.7674560546875,7061872,Reliance,RELIANCE.NS
2023-05-04,1105.2467632974385,1119.717677582049,1102.2567073883076,1117.503662109375,8635233,Reliance,RELIANCE.NS
2023-05-05,1114.3083172243437,1123.5979821409157,1112.0258380416835,1114.650634765625,8746585,Reliance,RELIANCE.NS
2023-05-08,1118.4165791288924,1133.7777597410543,1115.7461404298203,1128.4139404296875,9153782,Reliance,RELIANCE.NS
2023-05-09,1129.8291612797643,1135.2159233997013,1124.4653410768628,1131.90625,6464721,Reliance,RELIANCE.NS
